Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,EBITDA,EBITDA FQ-1,EBITDA FQ-2,EBITDA FQ-3,EBITDA FQ-4,EBITDA FQ-5,EBITDA FQ-6,EBITDA FQ-7,EBITDA FQ-8,EBITDA FQ-9,EBITDA FQ-10,EBITDA FQ-11,EBITDA FQ-12
1114,Brilliance China Automotive Holdings Limited,Consumer Discretionary,Automobiles,Automobiles & Components,2.423 B,2022,-1.334 B,-616.6 M,-88.217 M,-86.934 M,-42.111 M,-41.498 M,-214 M,-205.7 M,-344.2 M,-343.4 M,-53.947 M,-52.563 M,-14.217 M
388,Hong Kong Exchanges and Clearing Limited,Financials,Capital Markets,Diversified Financials,55.132 B,2022,1.577 B,356.3 M,381.1 M,415.2 M,415.8 M,505.2 M,495.3 M,591.8 M,448 M,518.8 M,485.7 M,363.7 M,312.3 M
895,Dongjiang Environmental Company Limited,Industrials,Commercial Services & Supplies,Commercial & Professional Services,591.2 M,2022,84.677 M,26.83 M,26.937 M,30.48 M,30.882 M,38.932 M,27.116 M,46.11 M,29.259 M,37.986 M,27.452 M,36.028 M,31.009 M
1100,Mainland Headwear Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,116.3 M,2022,44.662 M,12.711 M,9.503 M,9.519 M,7.349 M,7.36 M,7.576 M,7.566 M,5.113 M,5.114 M,2.689 M,2.688 M,2.308 M
2,CLP Holdings Limited,Utilities,Electric Utilities,Utilities,18.152 B,2022,1.22 B,730.7 M,-124.1 M,-124.3 M,610.5 M,611.4 M,750.7 M,749.8 M,724.3 M,724.5 M,749 M,748.8 M,704.7 M
1061,Essex Bio-Technology Limited,Healthcare,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",271.5 M,2022,38.076 M,7.94 M,11.496 M,11.517 M,14.178 M,14.2 M,12.907 M,12.891 M,13.209 M,13.214 M,4.466 M,4.464 M,13.701 M
506,China Foods Limited,Consumer Staples,Beverages,"Food, Beverage & Tobacco",1.062 B,2022,327.2 M,112.8 M,60.901 M,60.015 M,87.466 M,86.192 M,73.107 M,70.283 M,60.67 M,60.525 M,24.748 M,24.113 M,64.688 M
882,Tianjin Development Holdings Limited,Utilities,Multi-Utilities,Utilities,214.6 M,2022,18.674 M,10.063 M,-,-,4.564 M,4.559 M,11.527 M,-7.26 M,-1.727 M,-1.727 M,-1.899 M,-1.888 M,14.162 M
655,Hongkong Chinese Limited,Real Estate,Real Estate Management & Development,Real Estate,129.8 M,2022,2.724 M,667.983 K,699.668 K,700.731 K,1.467 M,1.467 M,437.989 K,-639.791 K,591.884 K,593.866 K,-1.015 M,-1.018 M,375.746 K
69,Shangri-La Asia Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,3.142 B,2022,254.9 M,-,13.435 M,13.435 M,-47.099 M,-47.099 M,-5.279 M,-5.279 M,-37.683 M,-37.683 M,-60.563 M,-60.563 M,127.1 M
45,"The Hongkong and Shanghai Hotels, Limited",Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,1.647 B,2022,44.968 M,19.873 M,2.485 M,2.489 M,23.023 M,23.058 M,-1.481 M,-1.479 M,257.982 K,258.064 K,-8.258 M,-8.255 M,47.739 M
23,"The Bank of East Asia, Limited",Financials,Banks,Banks,3.29 B,2022,-,-,-,-,-,-,-,-,-,-,-,-,-
1072,Dongfang Electric Corporation Limited,Industrials,Electrical Equipment,Capital Goods,7.189 B,2022,363.4 M,90.315 M,141.9 M,-8.1 M,76.798 M,106.6 M,69.423 M,108.3 M,-7.141 M,126.4 M,29.674 M,-17.101 M,35.93 M
357,Hainan Meilan International Airport Company Limited,Industrials,Transportation Infrastructure,Transportation,1.118 B,2022,66.414 M,17.107 M,17.944 M,17.683 M,39.088 M,38.519 M,23.76 M,22.843 M,19.268 M,19.222 M,30.37 M,29.591 M,35.095 M
